Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,GDP2010,POP2010
Reunion,0.04413,0.04593,0.04587,0.04595,0.04641,0.04728,0.0478,0.04898,0.05047,0.05208,0.05203,NA
Rwanda,0.01234,0.01233,0.01248,0.01278,0.01204,0.01248,0.01237,0.01108,0.0113,0.01213,0.01219,NA,5624506157,10837
Saint Helena,0.00031,0.00018,0.00018,0.00018,0.00013,0.00018,0.00016,0.00018,0.00014,0.00013,0.00013,0.00021,4
Sao Tome and Principe,0.00138,0.00132,0.00139,0.0014,0.00138,0.00141,0.00158,0.00194,0.00196,0.00196,0.00195,NA,201037916,178
Senegal,0.06366,0.06364,0.06656,0.0685,0.07829,0.08372,0.0858,0.08716,0.06495,0.08611,0.08664,NA,12932427724,12951
Seychelles,0.0081,0.00835,0.01215,0.01185,0.01228,0.01209,0.016,0.01338,0.01472,0.01593,0.01342,0.017,969973774,91
Sierra Leone,0.01335,0.01366,0.01389,0.01421,0.01682,0.01674,0.01659,0.01786,0.02122,0.01985,0.02034,NA,2575466372,5752
Somalia,0.00998,0.00998,0.00998,0.01009,0.00996,0.0101,0.01059,0.01194,0.01138,0.01125,0.01125,NA,,9636
South Africa,4.58373,4.64708,4.53578,4.87605,5.21505,5.12043,5.28755,5.41603,5.72952,5.62826,5.59303,NA,363240728680,51452
Sudan and South Sudan,0.10796,0.13557,0.13991,0.1539,0.1649,0.17682,0.19666,0.19178,0.2123,0.29356,0.30792,NA
Swaziland,0.01637,0.0165,0.0166,0.01529,0.01457,0.01435,0.01595,0.01813,0.01825,0.0174,0.01729,NA,3691050502,1193
Tanzania,0.0582,0.06861,0.07525,0.07626,0.08168,0.0904,0.09356,0.10957,0.11714,0.12382,0.12017,NA,22915004297,44973
Togo,0.02191,0.01588,0.02058,0.03206,0.03397,0.03354,0.03483,0.03759,0.04271,0.02184,0.02309,NA,3172945282,6306
Tunisia,0.30098,0.33625,0.33847,0.33078,0.33365,0.35827,0.33345,0.29423,0.3135,0.30028,0.30913,NA,44377742070,10632
Uganda,0.03282,0.03501,0.0365,0.03925,0.04059,0.04166,0.03901,0.04344,0.04429,0.05992,0.0625,NA,17197111223,33987
Western Sahara,0.0036,0.00366,0.00366,0.00366,0.00364,0.00412,0.00365,0.00383,0.00364,0.00365,0.00365,0.00364,515
Zambia,0.09924,0.10487,0.10799,0.11254,0.11469,0.12143,0.12701,0.12644,0.12723,0.12534,0.13719,NA,16190196832,13217
Zimbabwe,0.21215,0.19942,0.19982,0.19783,0.17606,0.19331,0.17486,0.17422,0.15068,0.15486,0.16368,NA,7433314459,13077
Asia & Oceania,110.69924,113.69411,119.59693,127.50517,137.70834,148.73139,157.61473,165.67443,171.98377,182.7097,193.6155,NA
Afghanistan,0.02384,0.01768,0.01823,0.01629,0.01612,0.01698,0.01854,0.0265,0.02967,0.09823,0.10445,NA,15936784436,28398
American Samoa,0.00784,0.00786,0.00799,0.00799,0.00795,0.00846,0.00861,0.00922,0.00856,0.00861,0.00417,0.00625,,56
Australia,4.83335,5.00345,5.07292,5.1165,5.41692,5.64958,5.72146,5.9419,5.7874,5.76642,5.81146,5.60117,1141793593834,22404
Bangladesh,0.50385,0.55256,0.584,0.63488,0.6751,0.71835,0.78022,0.81363,0.88801,0.96407,0.98901,1.01317,100357022443,151125
Bhutan,0.01725,0.01865,0.02075,0.02275,0.02039,0.02296,0.03515,0.04958,0.05312,0.05402,0.05681,NA,1585319109,717
Brunei,0.0649,0.07311,0.08476,0.09008,0.10042,0.11918,0.18266,0.18816,0.19556,0.12763,0.14779,0.14914,12369708858,401
Burma (Myanmar),0.1675,0.16576,0.18845,0.2121,0.21775,0.28673,0.26736,0.28979,0.28615,0.24095,0.24075,NA,,51931
Cambodia,0.03411,0.0398,0.04281,0.04672,0.05206,0.05528,0.06078,0.06562,0.06871,0.06622,0.06118,NA,11242266333,14365
China,40.93559,42.58023,47.29373,52.96116,59.47403,67.91528,74.28128,79.37118,84.94611,94.37119,100.88144,109.61959,5930529470799,1359821
Cook Islands,0.0008,0.0008,0.0008,0.0008,0.00089,0.00098,0.00103,0.00096,0.00101,0.00101,0.00101,0.00104,20
