Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,G2000,G2001,G2002,G2003,G2004,G2005,G2006,G2007,G2008,G2009,G2010
Hungary,100.75749,104.36813,104.91408,107.52171,107.75972,115.13026,114.26731,112.03203,110.49094,103.58417,105.20436,46385589533,52720966883,66389489264,83538373060,101925734602,110321711572,112533152716,136102020866,154233541852,126631684032,127503279792
Iceland,426.61725,430.69691,439.49869,440.76344,441.27887,440.11186,478.53015,552.95293,687.61547,664.81988,664.99854,8697298233,7922983042,8907207933,10969898924,13251434311,16286323127,16651492783,20428232684,16832079676,12115478892,12564891657
Ireland,157.04859,162.2759,158.77255,154.68565,157.48304,158.15586,163.07373,159.04847,153.44866,135.58807,135.86863,97331522051,105166579627,123016253872,158730360073,186281307557,202577741640,222762911715,259574153791,264034092036,225442965634,208022028243
Italy,131.20877,131.58771,131.77825,135.50271,139.08784,136.84753,135.12687,134.82645,130.44432,121.58645,125.53075,1104009462562,1123702691037,1225176959595,1514503536381,1735521503771,1786275014006,1872982702430,2127180496503,2307311493054,2111148008711,2041954747600
Luxembourg,350.6221,362.93742,376.85676,391.73773,426.74378,439.56308,428.86282,415.01128,403.15874,377.24462,399.43902,20267551133,20196868008,22568793525,29144582392,34077095478,37643013480,42544669010,51320626630,54742739956,49420776474,51713947368
Macedonia,57.1104,52.55484,52.50183,56.80161,57.86532,58.26796,57.10362,55.48265,55.14481,54.57766,58.17661,3586883988,3436961384,3791306757,4756221628,5514253043,5985809059,6560546900,8159825620,9834038366,9313573964,9338665630
Malta,100.49768,83.94837,100.0998,99.32382,100.12153,103.42671,97.55434,102.95814,105.44102,216.78234,256.60989,3957418082,3917620727,4296164768,5119621569,5643525281,5980795755,6390123590,7513834699,8554293727,8099400960,8163841059
Montenegro,--,--,--,--,--,--,58.04827,52.59735,63.57285,58.81024,71.27709,984279596,1159891560,1284504508,1707662607,2073255525,2257181942,2696020574,3668857103,4519731946,4157852771,4114780573
Netherlands,238.12865,244.87366,244.02273,248.01701,254.06525,259.77898,253.78157,266.3191,252.31203,247.2228,257.40588,385074626865,400654138702,437807265198,538312641083,609889925685,638470626274,677691901432,782566743038,870811147324,796333367137,772090789473
Norway,442.62453,419.24331,427.73159,399.52637,420.85603,436.04996,399.98126,427.20218,418.20156,407.52943,399.53743,168288531891,170922851073,191927027230,224880794327,260029106207,304060069848,340041912703,393479162081,453885460992,378849392446,421236092715
Poland,93.76619,89.40461,89.40585,92.52898,97.13865,95.29685,99.95156,101.72563,101.05455,98.31077,105.43167,171276118424,190420870074,198179425151,216800888642,252768998589,303912247950,341669943593,425321502150,529432301178,430917310342,469736810690
Portugal,103.5719,104.55441,103.80268,106.61489,105.70349,106.57376,103.89519,105.95415,99.49198,99.44986,104.85919,117299520913,120332080536,132285714285,161931941309,185397304327,191847858528,201790398436,231741573802,251925293880,234119384365,227446710526
Romania,70.65909,76.53144,75.27846,73.11359,75.94344,75.03202,75.59788,75.18794,74.4141,64.10033,64.90035,37052636395,40180746113,45824529874,59507345650,75489440362,98913392471,122641508767,169282491900,204335225693,164345718689,164435979735
Serbia,--,--,--,--,--,--,84.10615,83.2093,100.84065,101.01584,105.45581,6082791506,11390468618,15102567924,19550781969,23649854234,25234408772,29221081586,38952093544,47760580365,40249479880,36990001283
Slovakia,145.3587,153.49174,156.0202,151.42615,148.48723,152.88302,150.65435,145.29742,147.02526,132.64884,141.13522,,,,,,,,,,,
Slovenia,145.64079,148.64626,150.15889,149.62097,156.18912,158.77149,157.98785,158.57595,169.29056,153.57257,154.52447,19979467790,20498926980,23136352386,29152072067,33837749815,35717733757,38945146499,47306799054,54606018255,49056152691,46908328071
Spain,136.52812,141.04469,140.02705,145.02205,147.52366,147.48094,146.1522,149.53907,142.18547,131.77656,134.16467,580345494748,608856375838,686295878035,883839729119,1044612070303,1130798885738,1236352163544,1441426534070,1593420002197,1454336570613,1375815789473
Sweden,254.47279,269.00964,254.30212,241.87825,256.97046,259.14352,245.54527,253.11548,245.61278,226.36098,244.87859,247260155857,227359498891,250960758336,314713404152,362089648912,370579639747,399075661572,462512853670,486158607819,405782994635,462903051317
Switzerland,178.19672,184.71949,174.85711,176.45263,177.00318,169.62549,171.96017,173.01164,173.42609,167.32945,162.83141,256042925982,262647169329,286658255888,334574926429,374224186243,384753967478,405183914852,450528109859,524289203562,509467163036,550638974461
Turkey,46.97498,42.3046,45.27936,47.02217,49.04087,51.38473,55.2155,59.58716,56.60473,55.94063,57.70662,266567531989,196005288838,232534560774,303005302818,392166274991,482979839237,530900095204,647155133931,730337495966,614553921823,731144392556
United Kingdom,164.51041,166.41455,166.65977,166.79594,166.77575,162.75514,159.88933,156.10069,150.65304,141.69677,142.97089,1493628385534,1485147545703,1620900779376,1875141224489,2220820974770,2321359350397,2483008793218,2857080828857,2687796663762,2208002878867,2285561538461
Eurasia,135.02258,134.24511,139.31823,144.56015,149.28598,149.82681,148.55261,153.52576,156.97018,140.39203,148.7029,,,,,,,,,,,
Armenia,53.39789,54.36554,54.39309,58.43516,60.38476,67.58304,68.47422,74.4106,72.75488,67.83725,71.44406,1911563665,2118467913,2376335048,2807061008,3576615240,4900436758,6384457744,9206277478,11662017844,8648015304,9260297329
Azerbaijan,61.44558,61.0072,68.83037,69.44219,72.90005,74.66169,78.34546,65.71645,78.85825,61.55582,59.73855,5272617196,5707618246,6236024951,7275766111,8680511918,13245421880,20982270733,33049380917,48852482960,44291490420,52905998878
Belarus,104.86354,96.2729,91.15853,99.40191,96.57144,114.62197,118.22694,118.28856,115.35028,108.4099,116.862,12736856485,12354820143,14594925392,17825436034,23141587717,30210091836,36961918858,45275711995,60763483146,49271267252,55220932613
Estonia,142.2887,148.83106,149.54374,165.58681,173.40497,174.92398,171.06877,175.58024,171.31795,152.17401,172.70665,5675174661,6237914200,7318186726,9840743037,12025943709,13905561150,16798495347,21993658963,23781539698,19406626721,18909381436
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
Georgia,28.78766,26.58755,31.37123,28.20703,28.90908,32.39724,29.89641,35.83393,37.50936,38.46163,41.71213,3057453460,3219487823,3395778661,3991374539,5125273877,6411147323,7761900179,10172260738,12799337249,10766836276,11638236642
Kazakhstan,116.87884,122.97384,126.10739,114.91657,136.55452,138.56961,145.97531,144.8052,142.19009,127.09173,131.99877,18291990619,22152689129,24636598581,30833692831,43151647002,57123671733,81003864915,104849915343,133441649221,115308687201,148052371903
Kyrgyzstan,48.88677,45.76559,38.47072,40.29084,41.43773,40.70527,41.3276,38.63326,33.51247,38.6346,37.27208,,,,,,,,,,,
Latvia,64.86253,68.23957,65.80459,69.18426,76.19767,80.96754,81.09796,76.38218,72.75679,73.88855,72.50579,7833068425,8313047743,9314784080,11186452600,13761569544,16041840426,19935046397,28765687041,33669367720,25875781250,24009680459
Lithuania,81.35321,86.89285,93.73055,97.41068,97.88419,98.0283,98.3755,107.9197,105.10343,91.21572,73.94813,11434200000,12159225000,14163949141,18608709856,22551543054,25962254180,30088510798,39103973050,47252926428,36846183172,36306384146
Moldova,26.34779,25.94316,29.09421,32.29359,30.71037,32.74864,35.44498,33.3318,35.02587,31.47023,31.78015,1288420222,1480656884,1661818168,1980901553,2598231467,2988172424,3408454197,4402495921,6054806100,5439422031,5811622393
Russia,177.75335,175.66948,183.21087,189.40043,195.45684,194.82476,193.97329,201.41768,208.1032,194.36537,205.72805,259708496267,306602673980,345110438693,430347770733,591016690742,764000901160,989930542278,1299705764824,1660846387626,1222648134225,1524916698233
Tajikistan,38.37915,38.97198,39.05888,41.19096,40.99463,41.71008,40.35791,38.49683,35.58215,25.42066,25.44346,860550294,1080774005,1221113794,1554125542,2076148710,2312319579,2830236053,3719497371,5161336170,4979481980,5642221528
Turkmenistan,91.4664,113.00663,129.8172,166.63914,175.12789,178.47455,178.28609,188.49828,192.97576,181.47981,186.83102,2904662604,3534771968,4462028988,5977440582,6838351088,8104355716,10277598152,12664165103,19271445266,20214456140,22148070175
Ukraine,117.35023,116.29153,121.14064,131.80163,132.21251,134.70951,125.8844,136.06696,135.33587,97.55308,112.15408,31261527363,38009344576,42392896031,50132953288,64883060725,86142018069,107753069306,142719009900,179992405832,117227769791,136418622767
Uzbekistan,78.05824,80.59215,81.57447,81.86778,85.80925,81.43976,83.05821,82.22446,85.84347,72.38951,71.60581,13760374487,11401351420,9687951055,10128112401,12030023547,14307509838,17030896203,22311393927,27934030937,32816828372,39332771014
Middle East,100.22141,101.64237,105.39506,107.79081,111.85373,119.53761,122.27656,119.2419,127.10474,131.08375,134.63973,,,,,,,,,,,
Bahrain,556.97608,561.26207,556.24298,522.06013,493.84228,488.2956,496.42294,487.06949,482.92344,474.73914,472.50406,7970690894,7928934209,8491183200,9747599583,11235671061,13460198289,15854942950,18473097688,21902892583,19318822540,25713571420
Iran,73.15594,77.4629,83.78142,87.37947,89.68126,101.48011,104.93711,106.58224,107.94432,119.03337,118.40062,101286514977,115438386681,116420833373,135409681532,163226579221,192014940324,222880533511,286057933325,355988367221,362661111280,422567967404
Iraq,47.8059,48.60183,47.67023,41.00429,44.33589,47.51038,45.79058,47.60538,47.4937,50.35096,50.5595,25857106735,18936094867,18969591211,,25509364916,36743640204,65141035027,88837727881,131611819294,111659988888,135488471367
Israel,132.68493,139.82399,132.02227,131.40867,129.27363,129.31698,128.7575,130.36696,117.05271,121.24824,128.55196,124895151203,122940533086,112974376292,118673283414,126571173583,133959001782,145479599622,167111803510,201661649944,194866363197,231674511901
